n,classic(ms),cirilo(ms)
200000,70.438000,28.371000
200100,53.600000,28.179000
200200,53.368000,28.560000
200300,53.092000,28.081000
200400,53.343000,28.255000
200500,55.698000,28.461000
200600,53.231000,28.177000
200700,53.872000,29.662000
200800,53.613000,28.509000
200900,54.823000,28.665000
201000,54.654000,29.718000
201100,54.612000,29.018000
201200,53.482000,28.218000
201300,53.654000,28.426000
201400,53.434000,28.530000
201500,53.736000,28.932000
201600,53.917000,28.469000
201700,53.485000,28.328000
201800,53.905000,28.242000
201900,53.703000,28.489000
202000,53.631000,28.642000
202100,54.029000,28.495000
202200,53.959000,28.548000
202300,54.538000,28.738000
202400,53.776000,28.592000
202500,57.501000,37.944000
202600,74.004000,34.601000
202700,61.675000,31.887000
202800,62.620000,31.530000
202900,60.309000,30.825000
203000,62.916000,30.156000
203100,54.220000,28.727000
203200,56.374000,42.253000
203300,68.683000,33.672000
203400,62.210000,32.585000
203500,68.432000,32.946000
203600,58.456000,33.006000
203700,78.074000,34.819000
203800,54.480000,28.528000
203900,60.197000,28.846000
204000,54.262000,28.750000
204100,72.228000,37.560000
204200,63.904000,33.582000
204300,61.679000,32.784000
204400,61.593000,32.413000
204500,60.347000,32.700000
204600,58.004000,29.392000
204700,54.501000,28.826000
204800,54.619000,28.690000
204900,54.492000,28.887000
205000,54.561000,28.776000
205100,55.457000,30.391000
205200,55.831000,30.286000
205300,55.855000,29.606000
205400,56.008000,31.885000
205500,56.340000,29.857000
205600,63.139000,31.759000
205700,55.951000,29.705000
205800,56.387000,29.775000
205900,55.565000,29.153000
206000,54.901000,29.434000
206100,59.204000,30.969000
206200,59.299000,31.579000
206300,56.035000,29.115000
206400,54.986000,30.272000
206500,59.022000,30.630000
206600,56.912000,30.388000
206700,56.908000,29.283000
206800,54.976000,30.191000
206900,56.753000,29.112000
207000,55.960000,31.795000
207100,58.617000,29.997000
207200,57.122000,30.496000
207300,57.481000,30.697000
207400,66.157000,34.243000
207500,76.508000,43.446000
207600,62.822000,32.622000
207700,61.563000,34.920000
207800,66.417000,32.624000
207900,68.303000,32.343000
208000,61.260000,34.010000
208100,63.722000,33.373000
208200,58.305000,32.371000
208300,62.066000,33.224000
208400,62.392000,30.523000
208500,57.564000,30.768000
208600,58.029000,31.841000
208700,61.187000,36.385000
208800,69.319000,33.199000
208900,59.558000,31.822000
209000,78.928000,32.668000
209100,73.304000,47.308000
209200,67.578000,31.975000
209300,68.672000,36.214000
209400,89.539000,38.825000
209500,77.796000,31.810000
209600,67.326000,49.067000
209700,70.007000,35.896000
209800,70.890000,34.131000
209900,61.614000,31.035000
210000,56.849000,31.750000
210100,61.213000,45.779000
210200,77.107000,39.036000
210300,61.315000,32.113000
210400,61.934000,32.187000
210500,59.827000,30.429000
210600,57.677000,31.977000
210700,60.967000,32.550000
210800,58.072000,30.780000
210900,61.696000,34.283000
211000,64.324000,39.058000
211100,79.561000,44.995000
211200,91.123000,40.778000
211300,76.264000,42.896000
211400,84.461000,44.429000
211500,84.817000,48.544000
211600,79.395000,40.522000
211700,75.653000,38.873000
211800,66.395000,34.498000
211900,58.948000,34.607000
212000,63.761000,32.125000
212100,69.433000,40.768000
212200,68.140000,33.947000
212300,65.988000,33.135000
212400,60.652000,31.450000
212500,66.127000,37.940000
212600,80.359000,53.223000
212700,94.760000,52.154000
212800,98.663000,50.894000
212900,97.013000,52.775000
213000,103.147000,64.182000
213100,117.320000,68.554000
213200,123.138000,64.272000
213300,122.011000,67.862000
213400,125.970000,66.392000
213500,153.262000,68.699000
213600,131.863000,74.895000
213700,156.910000,78.446000
213800,139.098000,78.977000
213900,137.797000,76.356000
214000,125.897000,80.531000
214100,117.810000,60.007000
214200,109.793000,70.574000
214300,107.850000,64.692000
214400,137.322000,79.373000
214500,140.671000,73.403000
214600,142.171000,76.718000
214700,138.055000,73.812000
214800,149.723000,69.985000
214900,147.251000,66.127000
215000,123.509000,62.318000
215100,124.481000,59.299000
215200,111.152000,59.568000
215300,119.534000,60.709000
215400,112.234000,57.426000
215500,101.076000,53.587000
215600,96.333000,48.963000
215700,90.438000,47.045000
215800,90.594000,48.308000
215900,89.265000,47.345000
216000,89.536000,47.744000
216100,85.771000,45.411000
216200,84.718000,43.682000
216300,82.411000,43.851000
216400,79.529000,42.337000
216500,79.517000,42.236000
216600,81.389000,42.336000
216700,79.732000,41.059000
216800,76.930000,40.864000
216900,77.060000,40.857000
217000,77.759000,41.334000
217100,82.816000,45.559000
217200,85.318000,46.672000
217300,94.792000,53.025000
217400,96.269000,50.975000
217500,89.249000,46.311000
217600,85.862000,45.596000
217700,83.010000,44.036000
217800,84.326000,42.769000
217900,80.216000,42.418000
218000,80.049000,42.480000
218100,80.165000,41.659000
218200,87.600000,44.818000
218300,85.694000,46.369000
218400,88.868000,48.020000
218500,90.701000,48.325000
218600,88.159000,44.946000
218700,83.528000,44.368000
218800,82.826000,42.927000
218900,80.723000,42.808000
